Timestamp,BatchID,DissolvedOxygen,Temperature,pH,Yield,AlarmTriggered,AlarmType(s)
2024-07-14 15:53:16,1,46.3,36.9,6.65,2.73,0,
2024-07-15 15:53:16,2,28.5,35.0,6.62,3.76,0,
2024-07-16 15:53:16,3,34.5,40.1,7.0,2.01,1,HighTemp
2024-07-17 15:53:16,4,24.6,35.6,6.56,3.65,0,
2024-07-18 15:53:16,5,24.3,34.4,6.67,3.63,0,
2024-07-19 15:53:16,6,33.4,41.7,6.7,2.34,1,HighTemp
2024-07-20 15:53:16,7,22.1,31.7,6.52,3.74,0,
2024-07-21 15:53:16,8,24.1,30.1,7.08,3.62,0,
2024-07-22 15:53:16,9,32.5,33.4,6.88,3.74,0,
2024-07-23 15:53:16,10,48.1,35.4,6.61,3.67,0,
2024-07-24 15:53:16,11,43.5,39.4,6.54,3.66,0,
2024-07-25 15:53:16,12,50.4,34.0,7.19,2.64,1,DOOutOfRange
2024-07-26 15:53:16,13,29.7,40.4,6.55,2.45,1,HighTemp
2024-07-27 15:53:16,14,42.1,38.1,6.78,3.6,0,
2024-07-28 15:53:16,15,34.5,33.8,6.42,2.44,1,pHOutOfRange
2024-07-29 15:53:16,16,48.5,41.0,7.27,2.51,1,HighTemp
2024-07-30 15:53:16,17,31.9,39.2,7.05,3.63,0,
2024-07-31 15:53:16,18,24.0,40.1,7.2,1.85,1,HighTemp
2024-08-01 15:53:16,19,43.8,41.2,6.4,1.66,1,"HighTemp, pHOutOfRange"
2024-08-02 15:53:16,20,36.2,40.9,7.36,2.34,1,HighTemp
2024-08-03 15:53:16,21,25.3,36.9,6.51,3.68,0,
2024-08-04 15:53:16,22,28.4,40.6,6.83,1.96,1,HighTemp
2024-08-05 15:53:16,23,30.2,31.9,6.81,3.63,0,
2024-08-06 15:53:16,24,49.7,30.6,6.91,3.7,0,
2024-08-07 15:53:16,25,31.2,37.0,6.56,3.61,0,
2024-08-08 15:53:16,26,21.1,41.0,6.97,1.81,1,HighTemp
2024-08-09 15:53:16,27,19.8,33.8,7.3,2.01,1,DOOutOfRange
2024-08-10 15:53:16,28,25.0,37.8,7.27,3.62,0,
2024-08-11 15:53:16,29,30.2,32.9,6.69,3.69,0,
2024-08-12 15:53:16,30,26.2,39.5,6.53,3.7,0,
2024-08-13 15:53:16,31,50.1,35.7,6.79,2.53,1,DOOutOfRange
2024-08-13 15:53:16,31,47.2,41.8,7.24,2.01,1,HighTemp
2024-08-13 15:53:16,31,39.5,33.1,6.67,3.69,0,
2024-08-13 15:53:16,31,26.6,33.1,6.77,3.72,0,
2024-08-13 15:53:16,31,30.7,39.5,6.73,3.68,0,
2024-08-13 15:53:16,31,41.4,40.7,6.56,2.47,1,HighTemp
2024-08-14 15:53:16,32,24.2,31.6,6.58,3.74,0,
2024-08-14 15:53:16,32,36.3,31.2,6.87,3.62,0,
2024-08-15 15:53:16,32,36.1,39.9,6.92,3.69,0,
2024-08-16 15:53:16,33,21.4,38.0,6.43,2.75,1,pHOutOfRange
2024-08-17 15:53:16,34,18.3,39.6,6.97,2.12,1,DOOutOfRange
2024-08-18 15:53:16,35,23.5,35.6,7.27,3.6,0,
2024-08-19 15:53:16,36,47.0,37.4,6.6,3.68,0,
2024-08-20 15:53:16,37,31.7,36.0,7.58,2.61,1,pHOutOfRange
2024-08-21 15:53:16,38,32.8,36.3,7.03,3.8,0,
2024-08-22 15:53:16,39,20.3,36.8,6.59,3.75,0,
